iter	Passed	Remaining
568	6876	5208
569	6886	5194
570	6896	5181
571	6907	5168
572	6918	5155
573	6929	5142
574	6940	5130
575	6950	5116
576	6961	5103
577	6973	5091
578	6984	5078
579	6993	5064
580	7003	5050
581	7014	5037
582	7023	5023
583	7035	5011
584	7044	4997
585	7053	4983
586	7065	4971
587	7075	4957
588	7085	4944
589	7097	4932
590	7107	4918
591	7117	4905
592	7128	4892
593	7139	4879
594	7149	4866
595	7158	4852
596	7169	4839
597	7180	4826
598	7189	4813
599	7200	4800
600	7209	4786
601	7219	4773
602	7230	4760
603	7241	4747
604	7251	4734
605	7261	4721
606	7270	4707
607	7282	4695
608	7291	4681
609	7302	4668
610	7312	4655
611	7322	4642
612	7333	4629
613	7343	4616
614	7352	4603
615	7363	4589
616	7372	4576
617	7382	4563
618	7391	4549
619	7401	4536
620	7412	4523
621	7422	4510
622	7432	4497
623	7440	4483
624	7451	4470
625	7460	4457
626	7470	4444
627	7481	4431
628	7490	4418
629	7500	4405
630	7510	4392
631	7520	4378
632	7531	4366
633	7544	4355
634	7554	4342
635	7563	4328
636	7573	4315
637	7583	4303
638	7596	4291
639	7609	4280
640	7620	4268
641	7634	4257
642	7648	4246
643	7662	4235
644	7675	4224
645	7687	4212
646	7698	4200
647	7708	4187
648	7718	4174
649	7729	4162
650	7739	4149
651	7749	4136
652	7760	4123
653	7770	4110
654	7780	4098
655	7791	4085
656	7801	4073
657	7811	4060
658	7821	4047
659	7833	4035
660	7844	4023
661	7856	4011
662	7866	3998
663	7877	3986
664	7889	3974
665	7898	3961
666	7909	3948
667	7918	3935
668	7929	3923
669	7940	3910
670	7950	3898
671	7960	3885
672	7970	3872
673	7980	3859
674	7990	3847
675	8000	3834
676	8010	3821
677	8020	3809
678	8031	3796
679	8042	3784
680	8052	3771
681	8062	3759
682	8075	3747
683	8084	3734
684	8095	3722
685	8105	3710
686	8115	3697
687	8125	3684
688	8135	3672
689	8145	3659
690	8157	3647
691	8167	3635
692	8178	3622
693	8188	3610
694	8198	3597
695	8208	3585
696	8218	3572
697	8228	3560
698	8238	3547
699	8249	3535
700	8260	3523
701	8271	3511
702	8281	3498
703	8290	3485
704	8299	3472
705	8309	3460
706	8320	3448
707	8331	3436
708	8342	3424
709	8355	3412
710	8366	3400
711	8377	3388
712	8390	3377
713	8400	3365
714	8412	3353
715	8425	3341
716	8435	3329
717	8445	3317
718	8457	3305
719	8467	3293
720	8478	3280
721	8488	3268
722	8498	3256
723	8508	3243
724	8519	3231
725	8530	3219
726	8540	3207
727	8549	3194
728	8559	3182
729	8570	3169
730	8581	3157
731	8590	3145
732	8600	3132
733	8611	3120
734	8622	3108
735	8632	3096
736	8642	3084
737	8652	3071
738	8662	3059
739	8671	3046
740	8680	3034
741	8691	3022
742	8701	3009
743	8713	2998
744	8725	2986
745	8738	2975
746	8752	2964
747	8766	2953
748	8782	2943
749	8798	2932
750	8813	2922
751	8829	2911
752	8844	2901
753	8860	2890
754	8874	2879
755	8887	2868
756	8908	2859
757	8924	2849
758	8940	2838
759	8955	2827
760	8970	2817
761	8981	2805
762	8993	2793
763	9003	2781
764	9014	2769
765	9025	2757
766	9034	2744
767	9044	2732
768	9054	2719
769	9067	2708
770	9077	2696
771	9088	2684
772	9098	2671
773	9108	2659
774	9120	2647
775	9132	2636
776	9143	2624
777	9154	2612
778	9169	2601
779	9181	2589
780	9197	2578
781	9211	2567
782	9224	2556
783	9239	2545
784	9255	2534
785	9266	2523
786	9280	2511
787	9293	2500
788	9306	2488
789	9319	2477
790	9332	2465
791	9344	2454
792	9356	2442
793	9367	2430
794	9380	2418
795	9393	2407
796	9406	2395
797	9418	2384
798	9429	2372
799	9441	2360
800	9455	2348
801	9467	2337
802	9479	2325
803	9493	2314
804	9509	2303
805	9521	2291
806	9534	2280
807	9547	2268
